time_to_wait,faux_p,faux_n,total_g_predict,total_predict,total_access
1,1,11404,4,5,11409
2,1,10842,1,2,10844
4,0,16759,1,1,16761
8,0,10509,3,3,10513
16,0,10651,0,0,10652
32,0,10080,0,0,10081
64,0,10923,0,0,10924
128,1,12992,0,1,12993
256,0,11823,0,0,11824
512,0,11726,0,0,11727
1024,1,10058,1,2,10060
2048,0,9998,3,3,10002
4096,0,9997,3,3,10001
8192,1,9583,417,418,10001
16384,762,6602,3397,4159,10000
32768,676,3807,6193,6869,10000
65536,328,1537,8463,8791,10000
131072,158,979,9021,9179,10000
262144,85,633,9367,9452,10000
524288,113,495,9505,9618,10000
1048576,19,580,9419,9438,10000
2097152,8,714,9285,9293,10000
4194304,8,465,9535,9543,10000
8388608,6,493,9507,9513,10000
